command,text,name,option_number,option_value,references,focus,image,values,name2,jp_text,jp_name
header,,,0,,,,,,,,
stopmusic,,,0,,,,,,,,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
blocker,,,0,,,,,,,,
background,,,0,,,,bg_bridge,,,,
blocker,,,0,,,,,,,,
playmusic,,,0,,,,,,,,
,罗德岛舰桥 6:00 a.m.,,0,,,,,,,ロードアイランド艦橋 午前6時,
dialog,,,0,,,,,,,,
character,,,0,,,,,,,,
background,,,0,,,,,,,,
blocker,,,0,,,,,,,,
image,,,0,,,,avg_7_7,,,,
imagetween,,,0,,,,,,,,
blocker,,,0,,,,,,,,
name,各位优秀的干员们，现在开始，我会向罗德岛全舰通报一些重要的信息。这里是阿米娅。,阿米娅,0,,,,,,,皆さん、優秀なオペレーターの皆様、これよりロドス全艦に重要な情報を通報します。こちらはアーミヤです。,アーミヤ
name,罗德岛本舰已经在昨天晚上正式驶离了龙门。,阿米娅,0,,,,,,,ロドス本艦は昨晩、正式に龍門を離港しました。,アーミヤ
name,我们和龙门签订的长期贸易协定因为种种原因，已经失效。现在我们已经没理由继续在这座城市停留。,阿米娅,0,,,,,,,私たちが龍門と締結した長期貿易協定は、様々な理由で無効となりました。これ以上この都市に留まる理由はありません。,アーミヤ
name,一方面，罗德岛在龙门购置了足够的资源，这应该能让我们多支撑一些时间。,阿米娅,0,,,,,,,一方で、ロドスは龍門で十分な資源を購入しており、それでしばらくは耐えられるはずです。,アーミヤ
name,另一方面......我们中的一些干员，将会在不久后深入切尔诺伯格核心城。,阿米娅,0,,,,,,,もう一方で……私たちの中の一部のオペレーターは、近いうちにチェルノボーグ核心都市の奥深くへ向かいます。,アーミヤ
name,一场更加艰巨的战斗正在那里等着我们。,阿米娅,0,,,,,,,そこには、より困難な戦いが待ち受けています。,アーミヤ
name,......很多人可能会觉得，战争离我们很远。,阿米娅,0,,,,,,,……多くの人は戦争は遠いものだと思っているかもしれません。,アーミヤ
name,战争，好像是种国家与国家之间的对抗，与一家制药企业没什么关系。,阿米娅,0,,,,,,,戦争とは国と国との対立であり、製薬企業には関係ないと思われがちです。,アーミヤ
name,但战争......战争，我想战争从没离开过我们。,阿米娅,0,,,,,,,しかし戦争……戦争は決して私たちから離れたことはないと思います。,アーミヤ
name,我们早就身在一场战争中了。那是一场对感染者极度不公，会让所有人都相互仇恨的漫长战争。,阿米娅,0,,,,,,,私たちはすでに戦争の中にいます。それは感染者に酷く不公平で、皆が互いに憎しみ合う長い戦争です。,アーミヤ
name,为了让抗矿石病药物成功研发，让感染者有机会使用这种药物，医疗干员们在理论与实验中都投入了大量的精力。,阿米娅,0,,,,,,,鉱石病治療薬の開発を成功させ、感染者がその薬を利用できる機会を得るために、医療オペレーターたちは理論と実験の両方に多大な努力を注いでいます。,アーミヤ
name,尽可能地让矿石病患者在罗德岛接受先进的抑制性治疗，同时减缓矿石病的扩散和发展，也一直是我们的行动标的。,阿米娅,0,,,,,,,可能な限り鉱石病患者がロドスで先進的な抑制治療を受けられるようにし、鉱石病の拡散と進行を遅らせることも我々の行動目標です。,アーミヤ
name,可这远远不够。在这之前，感染者和普通人之间的矛盾正在不断加剧。,阿米娅,0,,,,,,,しかし、それだけでは全く足りません。その前に、感染者と一般人との間の対立はますます激化しています。,アーミヤ
