command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,,,,,,0,,,,True
stopmusic,,,,,,1,,,,True
delay,,,,,,2,,,,True
dialog,,,,,,3,,,,True
playmusic,,,,,,4,,,,True
dialog,,,,,,5,,,,True
character,,,,,,6,,,,True
delay,,,,,,7,,,,True
,晖洁：,,,,,8,晖洁：,晖潔：,,True
,我们一路向南。,,,,,9,我们一路向南。,私たちは一路、南へ向かっています。,,True
,游击队希望赶在各矿场的感染者灭绝计划之前尽可能多地救下感染者。,,,,,10,游击队希望赶在各矿场的感染者灭绝计划之前尽可能多地救下感染者。,ゲリラ隊は、各鉱山での感染者絶滅計画が始まる前に、できるだけ多くの感染者を救出したいと考えています。,,True
,驻军一路后退，我们一路前进。,,,,,11,驻军一路后退，我们一路前进。,駐留軍は退却し続け、我々は前進し続けています。,,True
,看起来可能就像我们在追击乌萨斯的部队一样，但这肯定不可能。,,,,,12,看起来可能就像我们在追击乌萨斯的部队一样，但这肯定不可能。,まるでウルサスの部隊を追いかけているように見えるかもしれませんが、それは決してありえません。,,True
,我们是一边躲避着乌萨斯的常规军，一边在他们的眼皮底下救下感染者。,,,,,13,我们是一边躲避着乌萨斯的常规军，一边在他们的眼皮底下救下感染者。,我々はウルサスの正規軍を避けながら、彼らの目の前で感染者を救出しています。,,True
,这么做的理由，我想只能说是“我们应该这么做”。,,,,,14,这么做的理由，我想只能说是“我们应该这么做”。,そうする理由は、ただ「我々はそうすべきだから」しかありません。,,True
,但我想，通过吸纳更多感染者，为其他部队争取空间，同样也在爱国者先生的战略规划之内。,,,,,15,但我想，通过吸纳更多感染者，为其他部队争取空间，同样也在爱国者先生的战略规划之内。,しかし、より多くの感染者を取り込み、他の部隊のための余地を確保することも、『愛国者』様の戦略計画の一環だと思います。,,True
,爱国者可能划下了一条线，一条我们不会跨过的线。,,,,,16,爱国者可能划下了一条线，一条我们不会跨过的线。,『愛国者』様はおそらく、一線を引いていて、その線は我々が越えない線です。,,True
,跨过那条线意味着我们要么和乌萨斯驻军正面开战——这是绝对不可能的事——要么，我们就必须潜伏起来。,,,,,17,跨过那条线意味着我们要么和乌萨斯驻军正面开战——这是绝对不可能的事——要么，我们就必须潜伏起来。,その線を越えるということは、我々がウルサス駐留部隊と正面衝突するか—絶対にありえません—もしくは潜伏しなければならないことを意味します。,,True
,也就是说，离开雪原可能意味着，我们要隐秘地迈入乌萨斯真正的疆域，被严苛法度管辖着的移动领土。,,,,,18,也就是说，离开雪原可能意味着，我们要隐秘地迈入乌萨斯真正的疆域，被严苛法度管辖着的移动领土。,つまり雪原を離れることは、ウルサスの真の領域、厳しい法の下に置かれた移動領域へ密かに足を踏み入れることを意味します。,,True
,在那时，游击队将收起他们的武器，直到我们重新找到爆发的机会。,,,,,19,在那时，游击队将收起他们的武器，直到我们重新找到爆发的机会。,その時、ゲリラ隊は武器をしまい、再び反撃の機会を見つけるまで身を潜めるでしょう。,,True
,荒野里活跃着乌萨斯的军舰，城镇对感染者只会更加残忍。那一定会是一段艰难的日子。,,,,,20,荒野里活跃着乌萨斯的军舰，城镇对感染者只会更加残忍。那一定会是一段艰难的日子。,荒野にはウルサスの軍艦が活動しており、町では感染者に対してより残忍となるでしょう。それはきっと困難な日々になるでしょう。,,True
,想要迈出这一步，的确太难了。,,,,,21,想要迈出这一步，的确太难了。,この一歩を踏み出すことは確かに非常に難しいです。,,True
,但在西北冻原......只有雪。,,,,,22,但在西北冻原......只有雪。,しかし西北の凍原には……ただ雪だけがあります。,,True
,只有雪的土地是养活不了大家的。,,,,,23,只有雪的土地是养活不了大家的。,雪だけの土地は皆を養うことはできません。,,True
dialog,,,,,,24,,,,True
blocker,,,,,,25,,,,True
background,,,,bg_ruins_2,,26,,,,True
blocker,,,,,,27,,,,True
delay,,,,,,28,,,,True
,11月3日,,,,,29,11月3日,11月3日,,True
,第X年,,,,,30,第X年,第X年,,True
character,,avg_npc_037#2,,,,31,,,avg_npc_037#2,True
