command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,,,,,,0,,,,True
stopmusic,,,,,,1,,,,True
delay,,,,,,2,,,,True
dialog,,,,,,3,,,,True
blocker,,,,,,4,,,,True
background,,,,bg_top,,5,,,,True
blocker,,,,,,6,,,,True
delay,,,,,,7,,,,True
playmusic,,,,,,8,,,,True
dialog,,,,,,9,,,,True
character,,,,,,10,,,,True
blocker,,,,,,11,,,,True
image,,,,avg_8_40,,12,,,,True
playsound,,,,,,13,,,,True
playsound,,,,,,14,,,,True
blocker,,,,,,15,,,,True
character,,,,,,16,,,,True
character,,char_010_chen_1#2,,,,17,,,char_010_chen_1#2,True
name,喝——！,陈,,,,18,喝——！,飲め――！,陳,True
dialog,,,,,,19,,,,True
character,,,,,,20,,,,True
camerashake,,,,,,21,,,,True
playsound,,,,,,22,,,,True
blocker,,,,,,23,,,,True
blocker,,,,,,24,,,,True
delay,,,,,,25,,,,True
dialog,,,,,,26,,,,True
blocker,,,,,,27,,,,True
image,,,,,,28,,,,True
blocker,,,,,,29,,,,True
character,,char_002_amiya_1#7,,,,30,,,char_002_amiya_1#7,True
name,......,阿米娅,,,,31,......,......,アーミヤ,True
character,,char_010_chen_1#2,,,,32,,,char_010_chen_1#2,True
name,别想碰她！,陈,,,,33,别想碰她！,彼女に触れるんじゃない！,陳,True
character,,char_011_talula_1,,,,34,,,char_011_talula_1,True
name,你要护着她吗，晖洁，护着这个感染者的叛徒，我们同胞的刽子手？,塔露拉,,,,35,你要护着她吗，晖洁，护着这个感染者的叛徒，我们同胞的刽子手？,彼女を守るつもりか、キケツよ。この感染者の裏切り者、我々同胞の殺し屋を？,タルラ,True
name,我很失望，晖洁。你让我太失望了，不仅对我刀剑相向.....,塔露拉,,,,36,我很失望，晖洁。你让我太失望了，不仅对我刀剑相向.....,私はとても失望したわ、キケツ。あなたには本当に失望した。私に剣を向けるだけじゃなく……,タルラ,True
character,,char_002_amiya_1#7,2,,char_010_chen_1#4,37,,,char_002_amiya_1#7,True
name,阿米娅？！你怎么在这......！,陈,,,,38,阿米娅？！你怎么在这......！,アーミヤ！？どうしてここに……！,陳,True
name,小心，阿米娅！塔露拉她确实继承了科西切的一切。她已经......,陈,,,,39,小心，阿米娅！塔露拉她确实继承了科西切的一切。她已经......,気をつけて、アーミヤ！タルラは確かにコシチェのすべてを受け継いだ。彼女はもう……,陳,True
name,已经不是什么被从龙门绑架走的无辜失踪女孩了。,陈,,,,40,已经不是什么被从龙门绑架走的无辜失踪女孩了。,もう龍門から誘拐された無実の行方不明の少女ではない。,陳,True
character,,char_002_amiya_1#7,1,,char_010_chen_1#4,41,,,char_002_amiya_1#7,True
name,陈长官。不对。她不只是“继承人”......,阿米娅,,,,42,陈长官。不对。她不只是“继承人”......,陳長官、違います。彼女は単なる「継承者」ではありません……,アーミヤ,True
name,......我会戳破它的伪装。,阿米娅,,,,43,......我会戳破它的伪装。,……私はその偽装を見破ります。,アーミヤ,True
character,,char_010_chen_1#4,,,,44,,,char_010_chen_1#4,True
name,什么？什么......伪装？,陈,,,,45,什么？什么......伪装？,何だ？何だって……偽装だと？,陳,True
dialog,,,,,,46,,,,True
character,,,,,,47,,,,True
playsound,,,,,,48,,,,True
character,,char_011_talula_1,,,,49,,,char_011_talula_1,True
delay,,,,,,50,,,,True
name,你是罗德岛的那只卡特斯。,塔露拉,,,,51,你是罗德岛的那只卡特斯。,あなたはロドスのあのカタルスですね。,タルラ,True
name,博卓卡斯替呢？你们是试过了他锋利的戟，还是看到了他遭撕扯的尸骨？,塔露拉,,,,52,博卓卡斯替呢？你们是试过了他锋利的戟，还是看到了他遭撕扯的尸骨？,ドクター・カタルスは？彼の鋭い槍を試したのですか、それとも引き裂かれた彼の遺骸を見たのですか？,タルラ,True
character,,char_002_amiya_1#7,,,,53,,,char_002_amiya_1#7,True
name,......,阿米娅,,,,54,......,……,アーミヤ,True
