command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第二十一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,4,,,,False
name,——,,,,,,,,,,,,,,雷蛇,,,,,,,,,5,——,——,レイズ,True
name,怎么有这么多整合运动！,,,,,,,,,,,,,,雷蛇,,,,,,,,,6,怎么有这么多整合运动！,なんでこんなに多くのレユニオンがいるんだ！,レイズ,True
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,7,,,,False
name,诶呀！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,8,诶呀！,あっ！,レユニオン構成員,True
character,,,,,,,,,0.2,,,,,,,,,,,,,,,9,,,,False
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,10,,,,False
name,......,,,,,,,,,,,,,,芙兰卡,,,,,,,,,11,......,......,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,12,,,,False
name,只有我一个人觉得敌人越来越多了吗？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,13,只有我一个人觉得敌人越来越多了吗？,敵がどんどん増えてきてるの、私だけの気のせい？,フランカ,True
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,14,,,,False
name,啊呀！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,15,啊呀！,ああっ！,レユニオン構成員,True
character,,,,,,,,,0.2,,,,,,,,,,,,,,,16,,,,False
character,,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,17,,,,False
name,不是错觉。很明显，整合运动的增援到了。,,,,,,,,,,,,,,雷蛇,,,,,,,,,18,不是错觉。很明显，整合运动的增援到了。,錯覚じゃない。明らかにレユニオンの援軍が来た。,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,19,,,,False
name,可恶，我们甚至还没向他们报一箭之仇——！,,,,,,,,,,,,,,阿米娅,,,,,,,,,20,可恶，我们甚至还没向他们报一箭之仇——！,くそっ、私たちはまだあいつらに復讐すらできてないのに——！,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,21,,,,False
name,结果，倒是他们先找上罗德岛了。,,,,,,,,,,,,,,雷蛇,,,,,,,,,22,结果，倒是他们先找上罗德岛了。,結局、向こうの方が先にロドスを狙ってきた。,レイズ,True
name,芙兰卡，看。,,,,,,,,,,,,,,雷蛇,,,,,,,,,23,芙兰卡，看。,フランカ、見て。,レイズ,True
name,东边的出口，藏匿着的可能是整合运动的术师。,,,,,,,,,,,,,,雷蛇,,,,,,,,,24,东边的出口，藏匿着的可能是整合运动的术师。,東側の出口には、レユニオンの術師が潜んでいるかもしれない。,レイズ,True
