command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第十六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_indoor_2,1,1,1,coverall,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,4,,,,False
name,清理完毕！,,,,,,,,,,,,,,芙兰卡,,,,,,,,,5,清理完毕！,片付いたわ！,フランカ,True
name,确实......这群感染者，准备得还真是挺齐全的！,,,,,,,,,,,,,,芙兰卡,,,,,,,,,6,确实......这群感染者，准备得还真是挺齐全的！,確かに……この感染者たち、準備が本当に万全だったわね！,フランカ,True
name,你们也走快点！,,,,,,,,,,,,,,芙兰卡,,,,,,,,,7,你们也走快点！,あなたたちも早く行って！,フランカ,True
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,8,,,,False
name,......哈......究竟是什么人......啊......,,,,,,,,,,,,,,米莎,,,,,,,,,9,......哈......究竟是什么人......啊......,……はあ……一体誰なんだろう……ああ……,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,10,,,,False
name,大家，请加快速度！,,,,,,,,,,,,,,阿米娅,,,,,,,,,11,大家，请加快速度！,みんな、急いで！,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_107_liskam_1,2,,,,,,,12,,,,False
name,阿米娅，我们的身后有追兵。,,,,,,,,,,,,,,雷蛇,,,,,,,,,13,阿米娅，我们的身后有追兵。,アーミヤ、後ろから追手が来てる。,レイズ,True
name,来得及反击吗？,,,,,,,,,,,,,,雷蛇,,,,,,,,,14,来得及反击吗？,反撃は間に合う？,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_107_liskam_1,1,,,,,,,15,,,,False
name,暂时不要吧......,,,,,,,,,,,,,,阿米娅,,,,,,,,,16,暂时不要吧......,今はやめておきましょう……,アーミヤ,True
name,我最好甩开他们，避免无谓的战斗......,,,,,,,,,,,,,,阿米娅,,,,,,,,,17,我最好甩开他们，避免无谓的战斗......,彼らを巻いて、無駄な戦闘を避けた方がいい……,アーミヤ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,18,,,,False
name,先不说安全问题了......,,,,,,,,,,,,,,雷蛇,,,,,,,,,19,先不说安全问题了......,安全についてはもう言ってられない……,レイズ,True
name,我需要一条能最快离开贫民区，和陈长官汇合的路线。,,,,,,,,,,,,,,雷蛇,,,,,,,,,20,我需要一条能最快离开贫民区，和陈长官汇合的路线。,スラムから最速で出てチン（チェン）長官と合流できるルートが必要だ。,レイズ,True
name,整合运动，已经发现了我们的踪迹......,,,,,,,,,,,,,,雷蛇,,,,,,,,,21,整合运动，已经发现了我们的踪迹......,レユニオンが、もう私たちの足取りを掴んでる……,レイズ,True
name,我们在路上花费的时间越多，罗德岛的处境越危险！,,,,,,,,,,,,,,雷蛇,,,,,,,,,22,我们在路上花费的时间越多，罗德岛的处境越危险！,道中で時間をかけるほど、ロドスの状況が危険になる！,レイズ,True
character,,,,,,,,,,,,,,,char_103_angel_1,char_107_liskam_1,1,,,,,,,23,,,,False
name,这好办，我这有一条敌人想不到的。,,,,,,,,,,,,,,能天使,,,,,,,,,24,这好办，我这有一条敌人想不到的。,それなら大丈夫、こっちに敵が予想しないルートがあるよ。,エンジェル,True
character,,,,,,,,,,,,,,,char_103_angel_1,char_107_liskam_1,2,,,,,,,25,,,,False
name,你已经有主意了？,,,,,,,,,,,,,,雷蛇,,,,,,,,,26,你已经有主意了？,もう案があるの？,レイズ,True
character,,,,,,,,,,,,,,,char_103_angel_1,char_107_liskam_1,1,,,,,,,27,,,,False
name,当然~,,,,,,,,,,,,,,能天使,,,,,,,,,28,当然~,もちろん〜,エンジェル,True
name,不过要说可不可靠，我还得亲自去踩点看看。,,,,,,,,,,,,,,能天使,,,,,,,,,29,不过要说可不可靠，我还得亲自去踩点看看。,でも信頼できるかどうかは、私自身で下見しないとね。,エンジェル,True
character,,,,,,,,,,,,,,,char_103_angel_1,char_107_liskam_1,2,,,,,,,30,,,,False
name,请加油。,,,,,,,,,,,,,,雷蛇,,,,,,,,,31,请加油。,頑張って。,レイズ,True
character,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,32,,,,False
name,好嘞~那我先去，马上就回来！,,,,,,,,,,,,,,能天使,,,,,,,,,33,好嘞~那我先去，马上就回来！,オーケー〜じゃあ先に行くね、すぐ戻るから！,エンジェル,True
name,有事，就请联系另一位企鹅物流的专员！,,,,,,,,,,,,,,能天使,,,,,,,,,34,有事，就请联系另一位企鹅物流的专员！,何かあったら、他のペンギン急便のメンバーに連絡してね！,エンジェル,True
character,,,,,,,,1,,,,,,,,,,,,,,,,35,,,,False
blocker,,,,,,,,1,,,,,,,,,,1,2,0,0,0,true,36,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,37,,,,False
blocker,,,,,,,,1,,,,,,,,,,0,,,,,true,38,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,39,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,40,......,……,ミーシャ,True
