command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,block,index,text,jp_text,jp_name,text_match
header,第二十八关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_wild_a,1,1,1,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,4,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,5,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,6,,,,False
name,在战场上发呆是很危险的。,,,,,,,,,,,,,,陈,,,,7,在战场上发呆是很危险的。,戦場でぼんやりしているのはとても危険だ。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,2,,8,,,,False
name,......抱歉。,,,,,,,,,,,,,,阿米娅,,,,9,......抱歉。,……ごめんなさい。,アーミヤ,True
name,我只是......没能理解。,,,,,,,,,,,,,,阿米娅,,,,10,我只是......没能理解。,私はただ……理解できなかっただけです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,11,,,,False
name,整合运动龟缩在一个废弃矿场里。,,,,,,,,,,,,,,陈,,,,12,整合运动龟缩在一个废弃矿场里。,レユニオンは廃鉱に閉じこもっている。,チェン,True
name,那个女人，W，也一起逃进去了。,,,,,,,,,,,,,,陈,,,,13,那个女人，W，也一起逃进去了。,あの女、Wも一緒に逃げ込んだ。,チェン,True
name,——,,,,,,,,,,,,,,陈,,,,14,——,——,チェン,True
name,你如果想独自待着，我也会给你点空间。,,,,,,,,,,,,,,陈,,,,15,你如果想独自待着，我也会给你点空间。,もし一人でいたいなら、少し時間をあげる。,チェン,True
name,但近卫局却没有能拿来浪费的时间。,,,,,,,,,,,,,,陈,,,,16,但近卫局却没有能拿来浪费的时间。,だが近衛局には無駄にできる時間はない。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,17,,,,False
name,星熊，让其他人集合。,,,,,,,,,,,,,,陈,,,,18,星熊，让其他人集合。,ホシグマ、他の者を集めてくれ。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,19,,,,False
name,（米莎......）,,,,,,,,,,,,,,阿米娅,,,,20,（米莎......）,（ミーシャ……）,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,2,,21,,,,False
name,陈长官——,,,,,,,,,,,,,,阿米娅,,,,22,陈长官——,チェン長官――,アーミヤ,True
name,我有一个疑虑。,,,,,,,,,,,,,,阿米娅,,,,23,我有一个疑虑。,疑問があります。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,24,,,,False
name,疑虑？,,,,,,,,,,,,,,陈,,,,25,疑虑？,疑問？,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1#2,2,,26,,,,False
name,W擅长使用爆炸物。,,,,,,,,,,,,,,阿米娅,,,,27,W擅长使用爆炸物。,Wは爆発物の扱いに長けています。,アーミヤ,True
name,她极有可能会在战场上散布陷阱。,,,,,,,,,,,,,,阿米娅,,,,28,她极有可能会在战场上散布陷阱。,彼女は戦場に罠を仕掛ける可能性が非常に高いです。,アーミヤ,True
name,我担心，纯粹的正面进攻会给我们带来很大损失。,,,,,,,,,,,,,,阿米娅,,,,29,我担心，纯粹的正面进攻会给我们带来很大损失。,正面攻撃だけでは大きな損害を受けることを私は懸念しています。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1#7,2,,30,,,,False
name,我提议，由罗德岛干员先行潜入矿场，近卫局在外围设置包围网。,,,,,,,,,,,,,,阿米娅,,,,31,我提议，由罗德岛干员先行潜入矿场，近卫局在外围设置包围网。,ロドスのオペレーターが先に鉱山に潜入し、近衛局は外部で包囲網を敷くことを提案します。,アーミヤ,True
