command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,第四关（后）,,,,,0,,,第四ステージ（後半）,False
background,,,,bg_lungmen_d,,1,,,,True
delay,,,,,,2,,,,True
character,,char_144_red_7#8,,,,3,,,char_144_red_7#8,True
delay,,,,,,4,,,,True
character,,,,,,5,,,,True
playsound,,,,,,6,,,,True
blocker,,,,,,7,,,,True
blocker,,,,,,8,,,,True
camerashake,,,,,,9,,,,True
delay,,,,,,10,,,,True
character,,char_1502_crowns,,,,11,,,char_1502_crowns,True
name,（呃，呃......！哈，哈......）,弑君者,,,,12,（呃，呃......！哈，哈......）,（うっ、うっ……！はぁ、はぁ……）,王殺し,True
playsound,,,,,,13,,,,True
name,（......中计了？！刚才的袭击居然只是佯攻？）,弑君者,,,,14,（......中计了？！刚才的袭击居然只是佯攻？）,（……罠にかかった？！今の攻撃は囮だったのか？）,王殺し,True
name,（再让她切分我的队伍，整支大队都会失去作战能力......）,弑君者,,,,15,（再让她切分我的队伍，整支大队都会失去作战能力......）,（また彼女に部隊を分断されたら、全隊が戦闘不能になってしまう……）,王殺し,True
name,（不行，得立刻联系上他们才行！）,弑君者,,,,16,（不行，得立刻联系上他们才行！）,（ダメだ、すぐに連絡を取らないと！）,王殺し,True
name,（可恶，为什么我的手指不听使唤？为什么我在打冷颤！）,弑君者,,,,17,（可恶，为什么我的手指不听使唤？为什么我在打冷颤！）,（くそっ、なぜ指が動かない？なぜ震えているんだ！）,王殺し,True
name,（不能......不能被她追上！）,弑君者,,,,18,（不能......不能被她追上！）,（ダメだ……彼女に追いつかれてはならない！）,王殺し,True
dialog,,,,,,19,,,,True
character,,char_144_red_7#8,,,,20,,,char_144_red_7#8,True
delay,,,,,,21,,,,True
character,,char_1502_crowns,,,,22,,,char_1502_crowns,True
name,！,弑君者,,,,23,！,！,王殺し,True
dialog,,,,,,24,,,,True
blocker,,,,,,25,,,,True
playmusic,,,,,,26,,,,True
image,,,,avg_6_18,,27,,,,True
blocker,,,,,,28,,,,True
camerashake,,,,,,29,,,,True
character,,,,,,30,,,,True
imagetween,,,,,,31,,,,True
name,呜，咳！,弑君者,,,,32,呜，咳！,うっ、げほっ！,王殺し,True
character,,char_144_red_7#1,,,,33,,,char_144_red_7#1,True
name,（低沉咆哮）,？？？,,,,34,（低沉咆哮）,（低い唸り声）,？？？,True
character,,char_003_kalts_1,,,,35,,,char_003_kalts_1,True
