command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第九关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_1,1,1,1,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,4,,,,False
name,呼......甩开他们了。,,,,,,,,,,,,,杜宾,,,,,,,,5,呼......甩开他们了。,ふう……撒いたようだな。,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,6,,,,False
name,按这个速度，我们很快就会离开中城区，抵达南面出口。,,,,,,,,,,,,,Ace,,,,,,,,7,按这个速度，我们很快就会离开中城区，抵达南面出口。,このままの速度なら、すぐに中央区を抜けて南側の出口に着くぞ。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,2,,,,,,8,,,,False
name,周围也变得越来越嘈杂......,,,,,,,,,,,,,杜宾,,,,,,,,9,周围也变得越来越嘈杂......,周囲もどんどん騒がしくなってきたな……。,ドーベルマン,True
name,可能是切尔诺伯格的居民想要逃出城市，反而和整合运动发生了冲突吧。,,,,,,,,,,,,,杜宾,,,,,,,,10,可能是切尔诺伯格的居民想要逃出城市，反而和整合运动发生了冲突吧。,チェルノボーグの住民が都市から逃げようとして、逆にレユニオンと衝突しているのかもしれないな。,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,11,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,12,......,……,アーミヤ,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,13,,,,False
name,似乎有几个城区已经撤离了。,,,,,,,,,,,,,Ace,,,,,,,,14,似乎有几个城区已经撤离了。,いくつかの地区はすでに撤退したようだ。,エース,True
name,而没来得及逃出切尔诺伯格的本地居民，却依然被整合运动拦在这里。,,,,,,,,,,,,,Ace,,,,,,,,15,而没来得及逃出切尔诺伯格的本地居民，却依然被整合运动拦在这里。,しかし、チェルノボーグから逃げ遅れた地元住民は、依然としてレユニオンにここで足止めされているな。,エース,True
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,16,,,,False
name,......,,,,,,,,,,,,,临光,,,,,,,,17,......,……,ニアール,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,18,,,,False
name,——,,,,,,,,,,,,,Ace,,,,,,,,19,——,——,エース,True
name,这个开阔区域，曾经是个大广场吧。如今......只剩下些废墟。,,,,,,,,,,,,,Ace,,,,,,,,20,这个开阔区域，曾经是个大广场吧。如今......只剩下些废墟。,この広い場所、かつては大きな広場だったのだろう。今では……廃墟ばかりだな。,エース,True
name,虐待感染者的城市，遭到了感染者的报复吗。,,,,,,,,,,,,,Ace,,,,,,,,21,虐待感染者的城市，遭到了感染者的报复吗。,感染者を虐げた都市が、感染者に復讐されたのか。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,2,,,,,,22,,,,False
name,你似乎——,,,,,,,,,,,,,杜宾,,,,,,,,23,你似乎——,君は――,ドーベルマン,True
name,很有感触。,,,,,,,,,,,,,杜宾,,,,,,,,24,很有感触。,感慨深そうだな。,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,25,,,,False
name,呵，曾经......,,,,,,,,,,,,,Ace,,,,,,,,26,呵，曾经......,はは、かつては……,エース,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,27,,,,False
name,天色......越来越暗淡了。,,,,,,,,,,,,,阿米娅,,,,,,,,28,天色......越来越暗淡了。,空が……どんどん暗くなってきています。,アーミヤ,True
name,好像连空气中......都弥漫着一股......燃烧的味道。,,,,,,,,,,,,,阿米娅,,,,,,,,29,好像连空气中......都弥漫着一股......燃烧的味道。,空気の中にさえ……燃える匂いが……漂っているようです。,アーミヤ,True
blocker,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,30,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,31,,,,False
blocker,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,32,,,,False
image,,,,,,,,0,,,,,,,,,,,,,,33,,,,False
